stock,buy_price,n_shares,sell_price,net_gain,buy_date,sell_date
036460,36500,0,37650,0,2021-12-01,2021-12-03
036460,37650,0,38850,0,2021-12-04,2021-12-09
036460,37650,0,38950,0,2021-12-15,2021-12-17
036460,38950,0,37450,0,2021-12-18,2021-12-20
036460,38350,0,39600,0,2021-12-21,2021-12-28
036460,38250,0,37000,0,2022-01-04,2022-01-14
036460,36350,0,35150,0,2022-01-17,2022-01-21
036460,35150,0,33450,0,2022-01-22,2022-01-27
036460,35050,0,36450,0,2022-01-28,2022-02-04
036460,35850,0,34750,0,2022-02-14,2022-02-22
036460,38250,0,39850,0,2022-02-23,2022-02-24
036460,42150,0,40600,0,2022-03-14,2022-03-15
036460,40700,0,39450,0,2022-03-16,2022-03-17
036460,39750,0,42750,0,2022-03-18,2022-03-24
036460,39500,0,38250,0,2022-03-29,2022-04-06
036460,37000,0,39000,0,2022-04-07,2022-04-13
