,date,open,high,low,close,volume
0,1646611200000000000,122500,122500,119500,120500,66805
1,1646697600000000000,119000,119500,116000,116000,105948
2,1646870400000000000,119500,120500,117500,119000,72604
3,1646956800000000000,118000,120000,116500,118000,53886
4,1647216000000000000,117500,118500,114000,115000,87174
5,1647302400000000000,114000,115000,111000,112500,82539
6,1647388800000000000,114500,117000,114000,116000,61378
7,1647475200000000000,118000,120000,118000,118500,50036
8,1647561600000000000,119500,121500,118000,120000,86793
9,1647820800000000000,120000,121000,119500,120500,46673
10,1647907200000000000,125000,125000,121000,123000,100479
11,1647993600000000000,123000,124500,122500,124000,47833
12,1648080000000000000,122500,126000,122500,126000,69758
13,1648166400000000000,126000,128500,125500,127500,67994
14,1648425600000000000,127500,129000,125500,128500,59092
15,1648512000000000000,129000,130500,127500,130500,56088
16,1648598400000000000,131000,135500,131000,134500,122385
17,1648684800000000000,135500,136000,133500,136000,81452
18,1648771200000000000,136000,137000,134000,134500,63413
19,1649030400000000000,133500,136000,132500,136000,41387
20,1649116800000000000,136000,136500,133500,135500,39604
21,1649203200000000000,134000,137500,133500,137000,95952
22,1649289600000000000,135000,136500,131500,135500,80041
23,1649376000000000000,134500,136500,133500,136500,60649
24,1649635200000000000,135000,137500,133000,135000,67999
25,1649721600000000000,133500,135000,129500,131500,79304
26,1649808000000000000,131500,134000,130500,132500,46367
27,1649894400000000000,131500,132500,130500,131000,40295
