,date,open,high,low,close,volume
0,1646611200000000000,1465,1465,1410,1415,9105115
1,1646697600000000000,1405,1425,1375,1395,9087134
2,1646870400000000000,1420,1430,1395,1405,7091892
3,1646956800000000000,1405,1440,1385,1415,7547558
4,1647216000000000000,1425,1425,1390,1405,4857712
5,1647302400000000000,1395,1415,1375,1395,5160769
6,1647388800000000000,1405,1425,1395,1425,5576250
7,1647475200000000000,1440,1495,1435,1465,15275708
8,1647561600000000000,1470,1470,1425,1450,6433061
9,1647820800000000000,1460,1505,1450,1480,10568399
10,1647907200000000000,1485,1490,1455,1470,4408508
11,1647993600000000000,1480,1545,1475,1505,14609979
12,1648080000000000000,1495,1515,1475,1500,5826209
13,1648166400000000000,1490,1495,1440,1440,8676313
14,1648425600000000000,1355,1430,1340,1415,30250145
15,1648512000000000000,1435,1435,1400,1405,9482092
16,1648598400000000000,1395,1460,1375,1425,22564736
17,1648684800000000000,1440,1850,1420,1850,285947731
18,1648771200000000000,1955,2145,1810,1855,336975314
19,1649030400000000000,1880,1925,1830,1880,81235093
20,1649116800000000000,1890,2050,1865,1950,156353132
21,1649203200000000000,1955,2005,1855,1875,67333106
22,1649289600000000000,1815,1905,1805,1825,36546331
23,1649376000000000000,1840,1865,1735,1750,36188631
24,1649635200000000000,1760,1800,1720,1765,24356171
25,1649721600000000000,1770,1780,1735,1755,19283968
26,1649808000000000000,1760,1860,1750,1795,51683067
27,1649894400000000000,1810,1840,1790,1795,13592333
