,date,open,high,low,close,volume
0,1579651200000000000,60500,62600,60400,62300,15339565
1,1579737600000000000,61800,61800,60700,60800,14916555
2,1580169600000000000,59400,59400,58300,58800,23664541
3,1580256000000000000,59100,59700,58800,59100,16446102
4,1580342400000000000,58800,58800,56800,57200,20821939
5,1580428800000000000,57800,58400,56400,56400,19749457
6,1580688000000000000,55500,57400,55200,57200,23995260
7,1580774400000000000,57100,59000,56800,58900,21800192
8,1580860800000000000,60000,60200,58900,59500,19278165
9,1580947200000000000,60100,61100,59700,61100,14727159
10,1581033600000000000,61100,61200,59700,60400,16402493
11,1581292800000000000,59200,59800,59100,59700,13107121
12,1581379200000000000,59800,60700,59700,59900,11071231
13,1581465600000000000,60300,60700,59700,60500,12904207
14,1581552000000000000,61200,61600,60500,60700,18449775
15,1581638400000000000,60900,61900,60200,61800,13276067
16,1581897600000000000,61600,62000,61200,61500,8740596
17,1581984000000000000,60800,60900,59700,59800,16674266
18,1582070400000000000,59800,60400,59400,60200,12951496
19,1582156800000000000,60700,61300,59600,60000,14591924
20,1582243200000000000,58800,59800,58500,59200,13777393
21,1582502400000000000,57400,58100,56800,56800,25627537
22,1582588800000000000,56200,58000,56200,57900,23885408
23,1582675200000000000,56000,57000,56000,56500,25483102
24,1582761600000000000,56300,56900,55500,55900,23209541
25,1582848000000000000,55000,55500,54200,54200,30054227
26,1583107200000000000,54300,55500,53600,55000,30403412
