,date,open,high,low,close,volume
0,1646611200000000000,16800,16850,15850,16000,1371718
1,1646697600000000000,15350,16300,15250,15450,1325623
2,1646870400000000000,15800,15850,15350,15550,622583
3,1646956800000000000,15550,16050,15250,15350,780762
4,1647216000000000000,15400,15850,14850,14900,716461
5,1647302400000000000,14800,15200,14700,15100,614593
6,1647388800000000000,15300,15400,14850,15100,663274
7,1647475200000000000,15250,15850,15050,15450,921639
8,1647561600000000000,15650,16100,15300,15650,1483946
9,1647820800000000000,15700,15850,15200,15200,595179
10,1647907200000000000,15100,15400,15050,15300,355573
11,1647993600000000000,15750,16550,15400,16200,2710025
12,1648080000000000000,15950,16200,15600,15850,1073010
13,1648166400000000000,16000,16150,15500,15650,757071
14,1648425600000000000,15550,15650,14950,15150,569712
15,1648512000000000000,15250,15500,15100,15350,605357
16,1648598400000000000,15400,15500,14950,14950,700297
17,1648684800000000000,14950,15100,14750,14950,426414
18,1648771200000000000,14850,15550,14700,15000,957876
19,1649030400000000000,14850,15000,14350,14650,854489
20,1649116800000000000,14700,15250,14650,14950,646537
21,1649203200000000000,14950,14950,14500,14600,508995
22,1649289600000000000,14400,14700,14100,14150,518663
23,1649376000000000000,14200,14350,13750,13850,533808
24,1649635200000000000,13800,13850,12750,13100,990564
25,1649721600000000000,12800,13250,12750,13250,506898
26,1649808000000000000,13200,13200,12900,13100,428480
27,1649894400000000000,12900,12950,12500,12800,509102
