,date,open,high,low,close,volume
0,1646611200000000000,161500,161500,155500,156500,1247365
1,1646697600000000000,152500,159500,152500,156500,543574
2,1646870400000000000,161000,162500,156000,157000,865598
3,1646956800000000000,157500,158500,153000,155500,656775
4,1647216000000000000,154500,155500,150000,152000,727104
5,1647302400000000000,150500,153000,150000,151000,362803
6,1647388800000000000,153500,156000,151500,155500,551755
7,1647475200000000000,160000,162500,159000,160000,828143
8,1647561600000000000,160000,161500,158500,161000,473641
9,1647820800000000000,162000,164000,160500,160500,547129
10,1647907200000000000,160000,166000,160000,165500,764237
11,1647993600000000000,167000,168000,165000,166000,608546
12,1648080000000000000,164500,166000,163500,164500,426875
13,1648166400000000000,165500,166000,163000,163500,326849
14,1648425600000000000,161500,164500,160500,163500,297450
15,1648512000000000000,165500,166000,162500,163000,335244
16,1648598400000000000,166000,168500,165500,166500,626386
17,1648684800000000000,166500,167000,165000,165000,378523
18,1648771200000000000,163500,163500,160500,161500,597836
19,1649030400000000000,161500,162500,160000,161500,273280
20,1649116800000000000,162500,164500,162000,162500,345330
21,1649203200000000000,160000,161500,158000,158500,504147
22,1649289600000000000,157000,158500,155000,155500,480079
23,1649376000000000000,156500,158000,155000,157500,355229
24,1649635200000000000,156500,159000,155000,156000,322781
25,1649721600000000000,155500,156500,154000,155000,352536
26,1649808000000000000,156000,160500,155000,160000,396560
27,1649894400000000000,160500,161000,158000,159000,429650
