,date,open,high,low,close,volume
0,1618531200000000000,6860,7230,6850,7190,2013933
1,1618790400000000000,7220,7240,7130,7140,648183
2,1618876800000000000,7180,7280,7080,7280,591364
3,1618963200000000000,7280,7290,6990,7040,858821
4,1619049600000000000,7130,7150,7000,7020,490583
5,1619136000000000000,7020,7060,6940,7020,350460
6,1619395200000000000,7080,7080,6970,7000,314144
7,1619481600000000000,7050,7120,6950,7110,496501
8,1619568000000000000,7120,7170,6880,6940,1312452
9,1619654400000000000,6990,7040,6810,6940,513512
10,1619740800000000000,6930,6980,6720,6750,544013
11,1620000000000000000,6750,6890,6740,6800,432438
12,1620086400000000000,6790,6850,6610,6700,378017
13,1620259200000000000,6700,6780,6650,6740,168209
14,1620345600000000000,6730,6840,6730,6840,227066
15,1620604800000000000,6850,6910,6820,6850,242975
16,1620691200000000000,6820,6840,6750,6780,196518
17,1620777600000000000,6740,6780,6620,6710,250864
18,1620864000000000000,6640,6650,6540,6570,316108
19,1620950400000000000,6610,6690,6580,6600,169935
20,1621209600000000000,6590,6660,6500,6520,199701
21,1621296000000000000,6490,6580,6440,6570,249091
22,1621468800000000000,6500,6600,6490,6600,137170
23,1621555200000000000,6640,6640,6490,6510,237041
24,1621814400000000000,6510,6550,6280,6280,235869
25,1621900800000000000,6280,6470,6280,6420,128690
26,1621987200000000000,6400,6540,6400,6500,97548
27,1622073600000000000,6550,6580,6470,6540,123018
28,1622160000000000000,6570,6570,6490,6500,134315
29,1622419200000000000,6520,6740,6490,6690,377558
30,1622505600000000000,6690,6700,6620,6680,165001
31,1622592000000000000,6710,6720,6600,6610,159564
32,1622678400000000000,6610,6720,6590,6670,254895
33,1622764800000000000,6650,6700,6600,6630,145067
34,1623024000000000000,6630,6650,6500,6520,231803
35,1623110400000000000,6530,6550,6430,6440,169594
36,1623196800000000000,6490,6500,6340,6380,261330
37,1623283200000000000,6370,6520,6360,6490,133931
38,1623369600000000000,6490,6560,6460,6540,106730
39,1623628800000000000,6540,6550,6430,6460,172134
40,1623715200000000000,6440,6500,6400,6500,135563
41,1623801600000000000,6450,6510,6440,6460,106650
42,1623888000000000000,6460,6510,6420,6510,92196
43,1623974400000000000,6510,6520,6440,6490,110058
44,1624233600000000000,6450,6490,6420,6430,129405
45,1624320000000000000,6430,6490,6400,6420,117381
46,1624406400000000000,6460,6470,6360,6360,202189
47,1624492800000000000,6390,6400,6320,6320,129553
48,1624579200000000000,6380,6420,6300,6350,200842
49,1624838400000000000,6360,6390,6320,6330,111404
50,1624924800000000000,6330,6400,6310,6320,130531
51,1625011200000000000,6330,6360,6280,6310,190889
52,1625097600000000000,6320,6350,6290,6330,151281
53,1625184000000000000,6330,6390,6320,6380,181835
54,1625443200000000000,6410,6570,6400,6490,427576
55,1625529600000000000,6560,6630,6490,6490,381006
56,1625616000000000000,6540,6550,6460,6540,183006
57,1625702400000000000,6570,6640,6430,6490,281801
58,1625788800000000000,6450,6460,6290,6370,195876
59,1626048000000000000,6390,6460,6390,6450,114680
60,1626134400000000000,6470,6540,6450,6520,131068
61,1626220800000000000,6500,6510,6380,6440,133463
62,1626307200000000000,6470,6530,6430,6510,142600
63,1626393600000000000,6510,6530,6430,6490,125878
64,1626652800000000000,6490,6490,6390,6430,92914
65,1626739200000000000,6330,6600,6320,6510,323875
66,1626825600000000000,6580,6610,6440,6490,253073
67,1626912000000000000,6470,6580,6470,6550,179740
68,1626998400000000000,6560,6610,6520,6590,229361
69,1627257600000000000,6600,6630,6450,6460,183933
70,1627344000000000000,6470,6510,6400,6400,145140
71,1627430400000000000,6400,6430,6330,6340,186876
72,1627516800000000000,6340,6400,6340,6380,68694
73,1627603200000000000,6390,6400,6280,6330,156122
74,1627862400000000000,6330,6360,6290,6340,94448
75,1627948800000000000,6340,6730,6340,6520,1565356
76,1628035200000000000,6520,6580,6440,6490,366787
77,1628121600000000000,6500,6550,6450,6530,240225
78,1628208000000000000,6680,6680,6470,6530,361790
