,date,open,high,low,close,volume
0,1618531200000000000,3705,4070,3700,3990,27753986
1,1618790400000000000,3940,3960,3700,3705,5289045
2,1618876800000000000,3710,3740,3565,3610,2768487
3,1618963200000000000,3610,3750,3570,3620,2798917
4,1619049600000000000,3600,3735,3595,3610,1573466
5,1619136000000000000,3600,3610,3525,3555,1461416
6,1619395200000000000,3665,3980,3605,3780,20503190
7,1619481600000000000,3765,3830,3650,3800,2505582
8,1619568000000000000,3845,4395,3780,3885,38465995
9,1619654400000000000,4285,4350,3880,3910,22516225
10,1619740800000000000,3830,3835,3515,3550,5952805
11,1620000000000000000,3515,3550,3095,3130,4950589
12,1620086400000000000,3185,3245,2965,3050,4108510
13,1620259200000000000,3015,3140,3015,3065,2233043
14,1620345600000000000,3050,3145,2960,3055,3074863
15,1620604800000000000,3100,3175,3070,3090,2324992
16,1620691200000000000,3055,3125,3030,3065,881908
17,1620777600000000000,3040,3050,2955,2980,914732
18,1620864000000000000,2935,2960,2815,2835,1388544
19,1620950400000000000,2885,2895,2800,2820,839850
20,1621209600000000000,2910,3000,2805,2805,1574492
21,1621296000000000000,2800,2985,2785,2875,1331743
22,1621468800000000000,2875,2930,2815,2865,720966
23,1621555200000000000,2865,3050,2860,2900,2582382
24,1621814400000000000,2940,2950,2800,2800,738846
25,1621900800000000000,2810,3170,2810,2930,8229575
26,1621987200000000000,2930,3065,2885,3000,2403885
27,1622073600000000000,3070,3140,3015,3055,2963687
28,1622160000000000000,3150,3190,3070,3120,3477318
29,1622419200000000000,3110,3115,3020,3065,1477496
30,1622505600000000000,3290,3490,3145,3160,15348093
31,1622592000000000000,3230,3280,3170,3200,2760360
32,1622678400000000000,3200,3225,3070,3135,1574666
33,1622764800000000000,3100,3210,3085,3130,1262129
34,1623024000000000000,3130,3155,3075,3150,823855
35,1623110400000000000,3130,3150,3050,3055,847701
36,1623196800000000000,3055,3095,3025,3060,480534
37,1623283200000000000,3050,3105,3010,3060,588829
38,1623369600000000000,3060,3230,3010,3060,1635151
39,1623628800000000000,3060,3060,3025,3045,485965
40,1623715200000000000,3045,3045,3005,3030,595020
41,1623801600000000000,3080,3140,3050,3065,986069
42,1623888000000000000,3050,3115,3025,3085,475374
43,1623974400000000000,3100,3115,3065,3090,557811
44,1624233600000000000,3075,3075,3005,3010,462200
45,1624320000000000000,3015,3070,3010,3070,380789
46,1624406400000000000,3070,3125,3060,3070,693813
47,1624492800000000000,3070,3075,3000,3000,662021
48,1624579200000000000,3005,3020,2970,3000,311171
49,1624838400000000000,3005,3125,2980,3010,579163
50,1624924800000000000,3015,3135,3010,3110,1411513
51,1625011200000000000,3115,3230,3070,3215,2539660
52,1625097600000000000,3250,3250,3125,3150,795540
53,1625184000000000000,3165,3210,3105,3165,520674
54,1625443200000000000,3170,3225,3070,3090,769588
55,1625529600000000000,3090,3200,3085,3180,927004
56,1625616000000000000,3190,3190,3100,3125,502737
57,1625702400000000000,3140,3170,3045,3070,485739
58,1625788800000000000,3030,3030,2895,2955,1051868
59,1626048000000000000,2965,3090,2955,3090,583299
60,1626134400000000000,3105,3195,3070,3150,909686
61,1626220800000000000,3145,3150,3090,3095,325188
62,1626307200000000000,3110,3115,3050,3060,342226
63,1626393600000000000,3060,3060,3010,3030,248596
64,1626652800000000000,3030,3120,3015,3045,514034
65,1626739200000000000,3010,3060,2985,3010,439107
66,1626825600000000000,3000,3095,2985,2985,486241
67,1626912000000000000,2985,3015,2970,2980,263927
68,1626998400000000000,2980,3020,2960,2975,245046
69,1627257600000000000,2995,3020,2920,2930,340898
70,1627344000000000000,2930,2980,2930,2945,222254
71,1627430400000000000,2945,3015,2925,2925,266404
72,1627516800000000000,2925,2975,2925,2940,142596
73,1627603200000000000,2940,2950,2850,2850,349583
74,1627862400000000000,2820,2875,2810,2835,160609
75,1627948800000000000,2840,3120,2830,2840,1822627
76,1628035200000000000,2850,2885,2845,2855,186871
77,1628121600000000000,2855,3000,2855,2930,718911
78,1628208000000000000,2925,2950,2890,2925,227472
79,1628467200000000000,2930,2945,2875,2885,272421
80,1628553600000000000,2905,2905,2840,2880,207411
81,1628640000000000000,2875,2915,2840,2865,191815
82,1628726400000000000,2865,2895,2845,2850,153049
83,1628812800000000000,2850,2990,2760,2860,1019538
84,1629158400000000000,2835,2845,2755,2765,426556
85,1629244800000000000,2705,2780,2700,2765,173685
86,1629331200000000000,2750,2750,2575,2590,533622
87,1629417600000000000,2585,2605,2415,2480,531742
88,1629676800000000000,2465,2620,2440,2615,252231
89,1629763200000000000,2635,2690,2615,2675,191062
90,1629849600000000000,2695,2695,2620,2670,115255
91,1629936000000000000,2660,2720,2630,2650,156527
92,1630022400000000000,2610,2665,2595,2645,95657
93,1630281600000000000,2645,2715,2635,2700,140633
94,1630368000000000000,2700,2700,2640,2670,121620
95,1630454400000000000,2670,2700,2645,2680,100580
96,1630540800000000000,2680,2695,2645,2685,138908
97,1630627200000000000,2700,2780,2670,2715,218904
98,1630886400000000000,2690,2700,2620,2675,139521
99,1630972800000000000,2675,2735,2670,2720,218565
100,1631059200000000000,2755,2780,2720,2725,279553
101,1631145600000000000,2715,2910,2715,2800,678482
102,1631232000000000000,2810,2845,2725,2775,203202
103,1631491200000000000,2775,2785,2665,2690,195232
104,1631577600000000000,2690,2740,2680,2710,127146
105,1631664000000000000,2705,2710,2660,2660,145995
106,1631750400000000000,2675,2695,2640,2650,104335
107,1631836800000000000,2640,2695,2615,2695,147923
108,1632355200000000000,2695,2740,2615,2735,301780
109,1632441600000000000,2720,2785,2660,2715,278630
110,1632700800000000000,2700,2980,2665,2855,2646691
111,1632787200000000000,2835,2840,2715,2800,706345
112,1632873600000000000,2735,2850,2720,2790,552765
113,1632960000000000000,2795,2810,2720,2780,329386
114,1633046400000000000,2750,2835,2700,2720,362414
115,1633392000000000000,2740,2900,2580,2650,736039
116,1633478400000000000,2650,2725,2485,2510,596203
117,1633564800000000000,2480,2600,2480,2570,317995
118,1633651200000000000,2580,2620,2525,2620,213947
119,1633996800000000000,2650,2650,2540,2575,193870
120,1634083200000000000,2530,2630,2530,2585,186762
121,1634169600000000000,2585,2715,2585,2685,254626
122,1634256000000000000,2710,2925,2710,2890,2295379
123,1634515200000000000,2890,2985,2820,2980,1291885
124,1634601600000000000,2980,3040,2785,2870,1869662
125,1634688000000000000,2890,3035,2865,2965,2074383
126,1634774400000000000,2975,3010,2925,2925,807964
127,1634860800000000000,2925,2980,2860,2980,489708
128,1635120000000000000,3000,3015,2910,2960,381418
129,1635206400000000000,2975,3030,2950,3010,913644
130,1635292800000000000,3010,3030,2890,2925,638113
131,1635379200000000000,2925,2965,2815,2825,408302
132,1635465600000000000,2825,2975,2825,2935,791868
133,1635724800000000000,2935,3005,2890,2935,384562
134,1635811200000000000,2965,2975,2845,2880,575472
135,1635897600000000000,2905,2925,2745,2780,663223
136,1635984000000000000,2800,2815,2650,2710,624773
137,1636070400000000000,2710,2710,2630,2655,282359
138,1636329600000000000,2660,2725,2625,2710,211963
139,1636416000000000000,2725,2785,2695,2720,279272
140,1636502400000000000,2745,2950,2660,2660,1076527
141,1636588800000000000,2660,2700,2540,2600,430562
142,1636675200000000000,2595,2740,2580,2700,481548
143,1636934400000000000,2750,2810,2680,2775,554043
