,date,open,high,low,close,volume
0,1646611200000000000,4780,4790,4665,4670,422181
1,1646697600000000000,4610,4640,4555,4590,430263
2,1646870400000000000,4360,4410,4000,4050,3803668
3,1646956800000000000,4050,4175,4050,4150,1540785
4,1647216000000000000,4130,4135,3885,3940,1892020
5,1647302400000000000,3945,3980,3910,3925,779752
6,1647388800000000000,3950,4020,3935,4015,950132
7,1647475200000000000,4065,4175,4050,4150,1119745
8,1647561600000000000,4165,4250,4125,4250,830953
9,1647820800000000000,4270,4330,4200,4220,675226
10,1647907200000000000,4220,4315,4220,4310,622620
11,1647993600000000000,4350,4350,4290,4320,517117
12,1648080000000000000,4335,4455,4290,4425,1137529
13,1648166400000000000,4505,4730,4400,4400,5155423
14,1648425600000000000,4360,4475,4315,4415,858419
15,1648512000000000000,4415,4470,4375,4410,553367
16,1648598400000000000,4430,4440,4375,4420,405584
17,1648684800000000000,4540,4540,4450,4455,747796
18,1648771200000000000,4420,4480,4410,4425,373272
19,1649030400000000000,4400,4670,4350,4435,2667055
20,1649116800000000000,4540,4540,4450,4450,416683
21,1649203200000000000,4415,4425,4355,4355,479384
22,1649289600000000000,4340,4355,4250,4255,492197
23,1649376000000000000,4260,4295,4200,4285,302593
24,1649635200000000000,4285,4325,4195,4200,423066
25,1649721600000000000,4170,4205,4115,4180,409293
26,1649808000000000000,4160,4290,4160,4275,291410
27,1649894400000000000,4275,4320,4260,4310,256487
