,date,open,high,low,close,volume
0,1646611200000000000,7610,7690,7550,7570,42626
1,1646697600000000000,7510,7910,7500,7680,143334
2,1646870400000000000,7700,7840,7680,7740,58786
3,1646956800000000000,7750,7790,7710,7750,34900
4,1647216000000000000,7980,8030,7790,7860,226822
5,1647302400000000000,7830,7930,7750,7800,70874
6,1647388800000000000,7810,7880,7800,7870,44397
7,1647475200000000000,7950,7950,7860,7900,50309
8,1647561600000000000,7930,7930,7830,7900,57411
9,1647820800000000000,7900,8000,7790,7810,91303
10,1647907200000000000,7810,7890,7780,7810,44273
11,1647993600000000000,7840,7930,7840,7880,61898
12,1648080000000000000,7880,7900,7830,7900,37592
13,1648166400000000000,7900,7920,7860,7880,33546
14,1648425600000000000,7880,7880,7780,7830,87099
15,1648512000000000000,7790,7860,7790,7830,45341
16,1648598400000000000,7840,7860,7790,7830,49591
17,1648684800000000000,7830,9150,7810,8260,9367552
18,1648771200000000000,8280,8290,8000,8020,994874
19,1649030400000000000,8050,8110,7980,8030,343180
20,1649116800000000000,8040,8200,8030,8120,295915
21,1649203200000000000,8100,8100,7980,8030,180169
22,1649289600000000000,8000,8040,7930,7990,179941
23,1649376000000000000,7990,8010,7880,7930,121967
24,1649635200000000000,7950,8080,7930,8030,112000
25,1649721600000000000,8030,8030,7850,7920,112058
26,1649808000000000000,7960,8110,7960,8050,156192
27,1649894400000000000,8110,8230,8080,8160,222005
