,date,open,high,low,close,volume
0,1618531200000000000,2053,2057,2000,2044,200363
1,1618790400000000000,2039,2048,1991,2018,199863
2,1618876800000000000,2017,2048,2000,2049,195916
3,1618963200000000000,2039,2066,2031,2049,279103
4,1619049600000000000,2048,2084,2039,2053,232136
5,1619136000000000000,2048,2106,2044,2097,381692
6,1619395200000000000,2097,2159,2088,2159,401700
7,1619481600000000000,2177,2185,2123,2164,500863
8,1619568000000000000,2159,2230,2137,2150,608245
9,1619654400000000000,2146,2168,2106,2155,288059
10,1619740800000000000,2146,2154,2066,2071,443581
11,1620000000000000000,1769,1792,1659,1717,2907535
12,1620086400000000000,1707,1721,1668,1721,498038
13,1620259200000000000,1721,1747,1703,1748,245753
14,1620345600000000000,1752,1823,1730,1814,331699
15,1620604800000000000,1845,2026,1814,1956,1268416
16,1620691200000000000,1955,1964,1867,1898,450315
17,1620777600000000000,1911,1915,1867,1867,146068
18,1620864000000000000,1805,1898,1792,1872,187581
19,1620950400000000000,1849,1902,1849,1898,127896
20,1621209600000000000,1907,1977,1893,1947,246363
21,1621296000000000000,1938,2008,1924,1947,216469
22,1621468800000000000,1955,1969,1911,1938,93245
23,1621555200000000000,1938,2070,1920,2066,443099
24,1621814400000000000,2035,2035,1862,1889,452161
25,1621900800000000000,1889,1911,1862,1889,139872
26,1621987200000000000,1889,1991,1889,1978,316872
27,1622073600000000000,1977,1995,1924,1947,135245
28,1622160000000000000,1951,2004,1933,1973,197158
29,1622419200000000000,1995,2017,1946,1996,238523
30,1622505600000000000,1995,2026,1955,1982,111913
31,1622592000000000000,1986,2044,1982,2044,224874
32,1622678400000000000,2048,2061,2000,2035,282590
33,1622764800000000000,2039,2092,2017,2084,397336
34,1623024000000000000,2088,2110,2075,2111,344226
35,1623110400000000000,2110,2203,2101,2199,527881
36,1623196800000000000,2199,2199,2132,2146,433513
37,1623283200000000000,2106,2177,2053,2075,581669
38,1623369600000000000,2084,2097,2008,2049,261420
39,1623628800000000000,2048,2079,1991,2053,232145
40,1623715200000000000,2053,2101,2022,2093,139352
41,1623801600000000000,2092,2110,2061,2062,75576
42,1623888000000000000,2061,2066,1915,2044,244862
43,1623974400000000000,2044,2088,2026,2053,65338
44,1624233600000000000,2053,2057,2013,2040,85722
45,1624320000000000000,2031,2199,2031,2089,496870
46,1624406400000000000,2123,2495,2084,2128,5434930
47,1624492800000000000,2150,2150,2039,2049,526058
48,1624579200000000000,2039,2061,1955,2049,230167
49,1624838400000000000,2057,2261,2048,2173,1284153
50,1624924800000000000,2172,2172,2000,2071,572499
51,1625011200000000000,2075,2110,2035,2084,198134
52,1625097600000000000,2084,2137,2053,2128,266547
53,1625184000000000000,2132,2190,2088,2159,361502
54,1625443200000000000,2119,2243,2097,2173,922374
55,1625529600000000000,2177,2296,2168,2297,922488
56,1625616000000000000,2296,2429,2208,2292,2064164
57,1625702400000000000,2292,2327,2194,2248,723339
58,1625788800000000000,2265,2606,2212,2301,7335867
59,1626048000000000000,2278,2477,2274,2465,3666425
60,1626134400000000000,2411,2526,2367,2469,2278225
61,1626220800000000000,2517,2526,2393,2416,1250103
62,1626307200000000000,2411,2482,2340,2394,901416
63,1626393600000000000,2393,2398,2354,2394,431227
64,1626652800000000000,2385,2517,2358,2425,1189150
65,1626739200000000000,2407,2522,2349,2412,1435942
66,1626825600000000000,2415,2477,2367,2389,546094
67,1626912000000000000,2380,2402,2358,2394,391696
68,1626998400000000000,2393,2420,2358,2367,311811
69,1627257600000000000,2367,2389,2318,2385,502989
70,1627344000000000000,2610,2930,2420,2480,7874013
71,1627430400000000000,2425,2490,2350,2375,561698
72,1627516800000000000,2375,2445,2360,2395,289754
73,1627603200000000000,2395,2425,2330,2345,250830
74,1627862400000000000,2335,2340,2140,2250,350515
75,1627948800000000000,2260,2315,2235,2300,165335
76,1628035200000000000,2300,2375,2275,2355,146883
77,1628121600000000000,2395,2975,2335,2755,20966813
78,1628208000000000000,2795,3495,2705,3160,22172390
79,1628467200000000000,3125,3335,3095,3100,5745637
80,1628553600000000000,3065,3100,2900,2910,1900979
81,1628640000000000000,2895,2940,2760,2865,943307
82,1628726400000000000,2830,2870,2755,2860,731235
83,1628812800000000000,2810,2885,2715,2855,699615
84,1629158400000000000,2800,2855,2650,2680,684298
85,1629244800000000000,2515,2950,2515,2650,1013493
86,1629331200000000000,2630,2630,2370,2425,593814
87,1629417600000000000,2430,2440,2305,2340,374331
88,1629676800000000000,2350,2390,2300,2390,236541
89,1629763200000000000,2390,2495,2390,2430,278855
90,1629849600000000000,2470,2745,2405,2575,1518456
91,1629936000000000000,2600,2710,2535,2590,641514
92,1630022400000000000,2590,2670,2515,2585,321104
93,1630281600000000000,2600,2730,2435,2490,1172581
94,1630368000000000000,2490,2890,2365,2740,2690614
95,1630454400000000000,2690,2710,2540,2610,977056
96,1630540800000000000,2610,2610,2455,2455,590070
97,1630627200000000000,2515,2940,2515,2650,9193701
98,1630886400000000000,2610,2695,2480,2635,1310131
99,1630972800000000000,2625,2795,2600,2730,1358013
100,1631059200000000000,2640,2680,2575,2580,701313
101,1631145600000000000,2555,2605,2450,2480,470439
102,1631232000000000000,2480,2530,2410,2510,298950
