,volume,normalized_value,3_reg,5_reg,10_reg,20_reg,target
2,527881,0.9607843137160708,37.99999999999998,29.800000000000004,20.478787878787884,9.166165413533836,1
3,85722,0.6136363636224174,-4.499999999999998,-4.8999999999999995,-11.933333333333335,8.981954887218047,0
4,350515,0.54999999999725,-14.999999999999996,-16.5,-3.8363636363636355,6.51278195488722,0
5,22172390,0.5759493670878786,227.49999999999991,92.49999999999999,11.860606060606063,1.1157894736842098,1
6,374331,0.25925925925733884,-127.49999999999997,-107.5,-53.3939393939394,26.654135338345863,0
7,2690614,0.7142857142843537,-49.999999999999986,13.000000000000002,-3.6060606060606046,-8.139097744360903,1
8,284110,0.28571428570612245,-19.999999999999993,-10.999999999999998,-36.48484848484847,-41.417293233082724,0
9,181163,0.44444444443456793,-24.99999999999999,-22.000000000000007,-7.81818181818182,-39.037593984962406,0
10,41626397,0.6614785992212752,284.99999999999994,5.499999999999999,148.45454545454547,90.13157894736842,1
11,16931357,0.4660194174748233,582.4999999999998,269.0,189.63636363636368,106.09774436090227,1
12,10064716,0.6083333333323194,362.49999999999983,375.5,200.09090909090912,117.4812030075188,1
13,2388009,0.13846153846111242,112.49999999999997,112.0,28.33333333333334,-40.21804511278197,1
14,1763222,0.2647058823513841,12.499999999999995,-28.000000000000004,-15.151515151515152,-34.71428571428572,0
15,1008151,0.44444444443950615,-57.49999999999998,-24.500000000000004,-20.757575757575758,16.823308270676694,0
16,5255960,0.37209302325408333,44.999999999999986,64.0,124.36363636363637,46.42857142857142,1
1,738846,0.0,12.499999999999996,22.0,-27.03030303030303,-58.13909774436092,0
2,2760360,0.27272727272479336,20.0,32.99999999999999,35.757575757575765,-0.9661654135338312,1
3,662021,0.0,29.99999999999999,-5.000000000000001,1.1212121212121213,-4.063909774436091,0
4,2539660,0.906249999994336,54.999999999999986,8.999999999999996,-3.636363636363637,-5.657894736842104,1
5,1051868,0.4444444444411523,-54.99999999999998,-15.5,8.636363636363637,5.263157894736843,0
6,531742,0.3421052631560942,-87.49999999999997,-61.50000000000001,-29.42424242424243,-11.481203007518799,0
7,2646691,0.6031746031726883,9.999999999999995,19.500000000000004,-6.757575757575758,2.462406015037594,1
8,596203,0.10416666666623264,-64.99999999999997,-37.0,3.4545454545454537,2.236842105263158,0
9,913644,0.7499999999906249,17.499999999999993,19.5,45.72727272727273,12.642857142857144,1
10,358728,0.07692307692278107,-77.49999999999997,-60.00000000000001,-36.33333333333333,-18.85338345864661,0
11,336108,0.9743589743539777,44.999999999999986,23.000000000000004,21.36363636363637,-21.91353383458647,1
12,107379,0.2333333333317778,-74.99999999999997,-18.999999999999996,-20.18181818181818,-1.9812030075187976,0
13,49768787,0.3571428571421283,322.49999999999983,89.5,11.484848484848488,2.7330827067669174,1
14,681202,0.11999999999904,-32.499999999999986,-5.499999999999999,-12.303030303030303,-22.32330827067669,0
15,822942,0.9565217391221171,47.499999999999986,37.000000000000014,27.151515151515152,17.48872180451128,1
3,37109,0.2999999999994,-174.99999999999994,-109.99999999999999,-67.57575757575759,-45.86466165413535,0
4,103635,0.8181818181803306,374.9999999999999,230.0,41.21212121212122,24.92481203007519,1
5,212833,0.49999999999916667,124.99999999999996,255.00000000000003,81.21212121212119,57.18045112781956,1
6,49839,0.21052631578925207,-224.99999999999994,-280.0,-203.03030303030306,-83.15789473684212,0
7,21421,0.9999999999977778,199.99999999999991,225.00000000000003,22.121212121212125,-85.63909774436091,1
8,36638,0.9090909090892562,-249.99999999999991,-124.99999999999999,-102.72727272727273,-90.6015037593985,0
9,467009,0.9999999999995455,224.99999999999991,50.0,33.03030303030302,108.27067669172932,1
10,1507166,0.6380952380951165,-974.9999999999995,-114.99999999999996,183.33333333333331,118.68421052631582,1
11,100973,0.11111111111098766,-24.99999999999998,-900.0000000000003,-202.12121212121215,135.75187969924815,0
12,11453777,0.7595628415299716,2249.999999999999,1090.0000000000002,569.0909090909092,333.04511278195497,1
13,866940,0.24999999999992648,574.9999999999998,690.0,47.27272727272728,-188.0827067669173,1
14,97571,0.1538461538460355,-624.9999999999997,-499.99999999999994,-371.51515151515156,-97.89473684210529,0
15,1325165,0.6296296296294742,1249.9999999999998,440.0,94.54545454545456,124.54887218045114,1
2,79559,0.6111111111107717,-299.9999999999999,-59.999999999999986,243.63636363636363,279.1729323308271,1
3,79348,0.9999999999992857,-8.038873388460928e-14,-100.0,66.06060606060606,218.7218045112782,1
4,231456,0.9999999999992857,-1899.9999999999993,-1159.9999999999998,-515.1515151515152,-302.55639097744364,0
5,71838,0.39999999999973335,-249.99999999999983,-380.00000000000006,54.54545454545454,94.8872180451128,0
6,84555,0.5999999999997,749.9999999999995,769.9999999999999,35.15151515151518,71.12781954887217,1
7,108701,0.24999999999989583,-1049.9999999999998,-1400.0,-752.7272727272729,-147.66917293233087,0
8,105926,0.7058823529407613,1049.9999999999998,1240.0,553.939393939394,-208.27067669172934,1
